MFCC_1_Z,MFCC_2_Z,MFCC_3_Z,MFCC_4_Z,MFCC_5_Z,MFCC_6_Z,MFCC_7_Z,MFCC_8_Z,MFCC_9_Z,MFCC_10_Z,MFCC_11_Z,MFCC_12_Z,MFCC_13_Z,MFCC_1_MinMax,MFCC_2_MinMax,MFCC_3_MinMax,MFCC_4_MinMax,MFCC_5_MinMax,MFCC_6_MinMax,MFCC_7_MinMax,MFCC_8_MinMax,MFCC_9_MinMax,MFCC_10_MinMax,MFCC_11_MinMax,MFCC_12_MinMax,MFCC_13_MinMax
-2.902044,-2.9595816,-3.1223433,-3.3625162,-3.6358953,-3.8884802,-4.087688,-4.200897,-4.1442246,-3.9139373,-3.636474,-3.3938544,-3.1313193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.8086741,-1.8226213,-1.8563414,-1.8891013,-1.8945125,-1.8516886,-1.7676961,-1.6695727,-1.5779637,-1.5270523,-1.5478802,-1.6294523,-1.7218378,0.25501585,0.2703488,0.29354334,0.32454893,0.37143758,0.42215723,0.44804168,0.47581676,0.4679436,0.44548863,0.4069785,0.3633044,0.30659243
-0.762807,-0.74495095,-0.6890855,-0.5928483,-0.4623788,-0.32046,-0.21256068,-0.19840942,-0.3243241,-0.5773707,-0.8850156,-1.1705359,-1.3682064,0.4989519,0.52659947,0.56419075,0.61007446,0.67691225,0.73952854,0.7483727,0.7523535,0.6965379,0.6227374,0.5361427,0.45779896,0.38351485
-0.50002563,-0.4807599,-0.42319736,-0.33100414,-0.21561103,-0.098817505,-0.015253241,-0.009618472,-0.12011181,-0.3362078,-0.58975625,-0.80065143,-0.8983484,0.56024265,0.58941936,0.62584126,0.66775084,0.7295479,0.78546745,0.78647715,0.7878408,0.73377496,0.6677481,0.59367627,0.5339611,0.485719
-0.1353286,-0.12610896,-0.0917573,-0.015627164,0.112927735,0.26901639,0.3846558,0.39681783,0.30805102,0.1828769,0.05095932,-0.12501693,-0.35662267,0.6453037,0.673749,0.702691,0.7372189,0.79962534,0.8617068,0.8637084,0.8642392,0.8118481,0.76463014,0.7185246,0.6730796,0.603556
0.6337753,0.64297646,0.66459185,0.68269676,0.6731277,0.6011063,0.43006638,0.15052529,-0.18071485,-0.46669105,-0.687672,-0.9003564,-1.1098886,0.82468843,0.8566237,0.87806296,0.89103866,0.9191162,0.93053764,0.8724782,0.8179433,0.7227243,0.64339465,0.57459664,0.5134311,0.43970448
1.1851072,1.1654981,1.0983561,0.9700426,0.7798202,0.5399023,0.2635918,-0.031969015,-0.30300993,-0.5214253,-0.75875,-1.1261017,-1.6113247,0.95328,0.98087007,0.97863835,0.9543323,0.9418737,0.91785216,0.8403283,0.78363955,0.70042443,0.63317907,0.56074655,0.4669483,0.3306314
1.2518638,1.2221322,1.1252205,0.9514446,0.709813,0.42442602,0.11504938,-0.195833,-0.44190034,-0.5613185,-0.6133602,-0.7326067,-0.9842045,0.96885014,0.9943366,0.9848673,0.9502357,0.92694116,0.8939179,0.81164145,0.7528378,0.67509854,0.6257334,0.5890768,0.547972,0.4670435
1.1433607,1.1603339,1.1904855,1.1773686,1.0485924,0.74735755,0.2605633,-0.37646693,-1.0485913,-1.5735304,-1.8462578,-1.8638138,-1.6351777,0.94354296,0.9796421,1.0,1.0,0.99920297,0.96085054,0.8397434,0.71888375,0.5644718,0.43681395,0.34883732,0.3150475,0.32544285
1.0683544,1.0816095,1.1079575,1.112865,1.0523292,0.8770127,0.52696633,-0.06314499,-0.86839557,-1.6709173,-2.2183735,-2.3917854,-2.160496,0.92604876,0.96092284,0.9808646,0.98579174,1.0,0.98772365,0.8911917,0.77777934,0.5973295,0.41863766,0.27632773,0.20633397,0.21117489
0.9555616,0.95350677,0.93544745,0.87385637,0.74251616,0.5259793,0.21680315,-0.18456632,-0.6274359,-0.99894434,-1.2255901,-1.3047476,-1.2350593,0.8997412,0.9304623,0.9408653,0.93314534,0.93391675,0.9149664,0.83129233,0.7549556,0.6412672,0.5440548,0.46977916,0.43016368,0.41247717
1.0817232,1.049881,0.9431063,0.7434722,0.45825854,0.13544476,-0.15413071,-0.3482946,-0.41693377,-0.41692019,-0.48129448,-0.6952919,-0.99850136,0.9291668,0.9533784,0.94264114,0.9044256,0.8732845,0.834022,0.7596568,0.7241793,0.6796511,0.6526839,0.6148109,0.5556555,0.4639336
1.0468389,1.0250072,0.9434962,0.7721118,0.50834715,0.20586693,-0.054295283,-0.23658285,-0.37718636,-0.53286016,-0.7029991,-0.8207452,-0.8087169,0.9210305,0.9474638,0.94273156,0.91073406,0.8839684,0.8486181,0.7789372,0.745178,0.68689877,0.63104486,0.57161003,0.5298236,0.50521576
0.8680193,0.8717632,0.86619043,0.8109031,0.67077714,0.44952148,0.19599174,-0.035984494,-0.22577688,-0.3926274,-0.5682705,-0.7565049,-0.9229511,0.879323,0.91102517,0.92480695,0.9192786,0.9186148,0.8991193,0.8272732,0.7828847,0.71450746,0.6572179,0.5978629,0.54305124,0.4803674
0.58242935,0.6010168,0.6444866,0.68077034,0.67483866,0.61312354,0.51545024,0.40975,0.2966422,0.154622,-0.028411679,-0.24394497,-0.4727098,0.81271267,0.8466465,0.8734012,0.8906143,0.9194811,0.9330284,0.8889677,0.86667013,0.8097677,0.7593566,0.70305854,0.6485914,0.5783045
0.61321974,0.6372521,0.6947072,0.7437698,0.72754806,0.6007672,0.35963988,0.047748458,-0.24576576,-0.41602555,-0.41637933,-0.25785232,0.008131156,0.81989384,0.8552626,0.8850457,0.9044912,0.9307241,0.93046737,0.8588773,0.79862416,0.71086264,0.65285087,0.62746006,0.64572775,0.6828977
0.7012669,0.71530056,0.7427625,0.74559414,0.68148655,0.5303085,0.30701247,0.042566426,-0.22763793,-0.4578547,-0.6061362,-0.6327763,-0.5006679,0.8404298,0.87382114,0.89618814,0.90489304,0.92089915,0.9158637,0.84871376,0.7976501,0.71416813,0.64504385,0.5904845,0.56852794,0.572223
0.5934112,0.6068367,0.6364712,0.6565414,0.64335364,0.5914999,0.5083608,0.3790422,0.155596,-0.17506617,-0.54349935,-0.8367091,-0.9335279,0.81527376,0.8480303,0.87154275,0.8852774,0.9127654,0.9285466,0.8875986,0.86089796,0.78404874,0.6978236,0.60268974,0.5265365,0.4780667
0.4460569,0.4581258,0.48209566,0.48684168,0.44177833,0.34512815,0.2379693,0.18056041,0.20724048,0.29588783,0.40122834,0.5035225,0.57714456,0.78090525,0.8126696,0.83574826,0.84789765,0.8697693,0.8774822,0.83538,0.823589,0.79346585,0.7857225,0.7867772,0.8025009,0.8066703
0.5296718,0.5294924,0.5161276,0.46177104,0.35480732,0.23545177,0.1974798,0.3302799,0.62339336,0.926719,1.0832527,1.031746,0.7419351,0.8004074,0.82963926,0.84363914,0.84237534,0.85121834,0.85475,0.8275606,0.851732,0.86934906,0.903461,0.9196748,0.9112663,0.84251577
0.5613569,0.57510537,0.6061735,0.6266538,0.59996206,0.49713063,0.31892607,0.108337194,-0.054672986,-0.10704137,-0.06587848,0.010537793,0.06823863,0.80779743,0.8404852,0.86451775,0.87869406,0.9035099,0.90898705,0.85101455,0.8100131,0.74570733,0.71051973,0.69575787,0.7009914,0.6959724
0.41279882,0.4272324,0.47293946,0.5530645,0.6541403,0.7219411,0.67683095,0.48401108,0.21541826,-0.000505235,-0.13444506,-0.24869823,-0.3543919,0.77314806,0.80532366,0.83362526,0.8624846,0.9150662,0.9555826,0.9201339,0.88062906,0.794957,0.73040366,0.6823971,0.64761263,0.6040412
0.6217631,0.6219556,0.6112632,0.5632312,0.4558376,0.29358935,0.11810316,-0.0024831742,-0.002369001,0.12060995,0.2931125,0.44170648,0.51412976,0.82188654,0.8516253,0.86569786,0.864724,0.8727681,0.86679995,0.8122312,0.789182,0.7552447,0.7530086,0.76571,0.78977245,0.79296327
0.7406092,0.74453086,0.74398607,0.7061531,0.58854675,0.35566354,0.005510153,-0.39801523,-0.69988066,-0.74797714,-0.54596007,-0.19444756,0.21441475,0.84960604,0.8807716,0.89647186,0.89620537,0.901075,0.8796658,0.790487,0.7148333,0.62805724,0.59089535,0.6022103,0.6587833,0.72776884
0.65603954,0.67363435,0.71092135,0.7248558,0.6591043,0.470263,0.1534866,-0.25043747,-0.6393439,-0.87390256,-0.8756533,-0.6325555,-0.16994189,0.8298812,0.86391366,0.88880527,0.900325,0.916125,0.90341836,0.8190645,0.7425737,0.6390958,0.56739265,0.537967,0.5685734,0.644163
0.4624052,0.47969404,0.5263836,0.5877075,0.64038706,0.6531362,0.5958445,0.45558125,0.25416386,0.04818402,-0.12398544,-0.25578526,-0.32847375,0.78471804,0.8177981,0.8460171,0.87011534,0.9121326,0.9413217,0.90449363,0.8752851,0.80202204,0.73949105,0.68443525,0.6461534,0.6096789
0.58104527,0.58078164,0.5758025,0.56101555,0.5444636,0.5488184,0.5934968,0.66605,0.70000976,0.6063806,0.34141842,-0.0819407,-0.5929961,0.81238985,0.8418349,0.85747576,0.86423594,0.8916721,0.9197002,0.9040402,0.9148472,0.8833196,0.84367293,0.77512276,0.6819494,0.55213964
0.72229123,0.7194522,0.6992944,0.6359827,0.5122686,0.34064886,0.16427433,0.032129556,-0.030219033,-0.04969827,-0.09167738,-0.20174003,-0.38015756,0.8453336,0.8748083,0.88610935,0.8807489,0.8848049,0.8765538,0.82114786,0.7956883,0.7501664,0.7212223,0.69073075,0.6572817,0.5984366
0.5676369,0.5859975,0.6273804,0.6547426,0.62371635,0.50970554,0.32795608,0.12083066,-0.0662581,-0.20545395,-0.30097023,-0.36756226,-0.41638234,0.8092623,0.84307516,0.8694349,0.8848812,0.9085767,0.91159344,0.8527584,0.81236154,0.7435949,0.692152,0.6499484,0.6231376,0.5905569
0.6940733,0.6893347,0.6681297,0.6167275,0.52792686,0.40444335,0.2539216,0.09313587,-0.03339725,-0.081153885,-0.07662864,-0.10396272,-0.2334511,0.83875227,0.8676469,0.8788833,0.8765076,0.8881448,0.8897762,0.83846074,0.80715567,0.7495869,0.7153514,0.6936631,0.67741483,0.6303484
1.198713,1.095317,0.79197013,0.3323541,-0.17205974,-0.56482047,-0.72602934,-0.6369043,-0.37926903,-0.08353058,0.19239253,0.4566672,0.65003103,0.9564533,0.9641822,0.9075977,0.8138687,0.73883736,0.6888809,0.6492106,0.66992897,0.686519,0.7149078,0.7460839,0.792853,0.82252467
1.3854182,1.2459496,0.85883373,0.31748402,-0.23684402,-0.6392311,-0.76082623,-0.6381458,-0.49233326,-0.441182,-0.30991662,0.041026928,0.4780633,1.0,1.0,0.9231011,0.81059325,0.72501886,0.67345816,0.6424905,0.6696956,0.6659024,0.6481557,0.64820516,0.7072694,0.78511804
1.1779428,1.092889,0.8423542,0.4626929,0.051940292,-0.25362876,-0.35473067,-0.24194556,-0.0052965363,0.19137889,0.24685434,0.17858966,-0.004201876,0.95160913,0.96360487,0.9192801,0.8425784,0.7866167,0.75338036,0.7209165,0.74416995,0.75471085,0.76621693,0.7566962,0.73559463,0.680215
0.89818287,0.84977746,0.71676224,0.53588814,0.34670934,0.149647,-0.07243123,-0.25174108,-0.23576288,-0.030420916,0.118475616,0.038085606,-0.18118894,0.88635826,0.9057973,0.89015955,0.8587011,0.849491,0.8369656,0.7754348,0.74232864,0.7126866,0.7248202,0.73168063,0.7066637,0.64171654
0.70082897,0.686349,0.6434006,0.5686209,0.44357803,0.24494952,-0.0033348324,-0.20970368,-0.2911585,-0.26271096,-0.16765057,0.018486504,0.29370824,0.84032774,0.866937,0.87314945,0.8659112,0.8701531,0.85671854,0.78877884,0.7502305,0.7025855,0.68146557,0.6759268,0.70262814,0.7450169
0.79808575,0.7711297,0.6980835,0.58055997,0.39661595,0.17186895,0.03694827,0.05666464,0.06917776,-0.06660375,-0.2574664,-0.42697814,-0.5613261,0.86301184,0.8870963,0.88582855,0.868541,0.86013615,0.84157145,0.7965584,0.8003001,0.7682909,0.71806705,0.65842545,0.6109034,0.55902857
0.99001145,0.9327962,0.780699,0.5582447,0.26228005,-0.04460189,-0.16276406,-0.011812919,0.14360799,0.0761159,-0.09420618,-0.2981472,-0.5712233,0.90777636,0.9255377,0.90498435,0.8636256,0.83148223,0.7967045,0.7579895,0.7874283,0.7818628,0.74470425,0.690238,0.6374307,0.5568757
0.88085407,0.8324484,0.6912307,0.46357688,0.1666105,-0.11059317,-0.18513158,0.052259415,0.4488412,0.7215647,0.7454308,0.5036067,0.03130117,0.8823166,0.9016768,0.8842397,0.84277314,0.81107587,0.78302675,0.75366986,0.7994721,0.8375204,0.8651709,0.8538477,0.8025182,0.6879377
1.0482436,0.99855894,0.8530168,0.6047779,0.22485717,-0.25887594,-0.66220635,-0.74807477,-0.45409214,0.040580787,0.4855565,0.67968106,0.5402389,0.9213581,0.9411749,0.9217524,0.87387544,0.8234999,0.7522928,0.66153616,0.6490321,0.67287546,0.738072,0.8032092,0.8387733,0.7986425
1.0122671,0.98653615,0.89181745,0.6832999,0.31671995,-0.19228975,-0.70326334,-0.9705346,-0.8049869,-0.31227553,0.21728365,0.62862664,0.8539355,0.9129672,0.9383161,0.93074894,0.89117146,0.8430943,0.76609385,0.6536072,0.607216,0.6088917,0.6722148,0.7509342,0.82826084,0.8668783
0.36496124,0.37744424,0.4177301,0.4927817,0.6022368,0.71505237,0.76909345,0.7158247,0.57216495,0.41613936,0.28542495,0.13893108,-0.07106005,0.76199055,0.7934849,0.820824,0.8492061,0.90399516,0.9541548,0.9379518,0.92420346,0.8600078,0.80816627,0.764212,0.7274286,0.66567194
0.521125,0.5195511,0.51884675,0.5336491,0.58209133,0.6511197,0.6694238,0.5461082,0.27386457,-0.0149345,-0.19526872,-0.27860135,-0.35228398,0.79841375,0.8272754,0.8442696,0.85820794,0.8996981,0.9409037,0.9187034,0.89230156,0.80561435,0.7277106,0.67054516,0.64145535,0.6044997
0.43771106,0.46529052,0.53838336,0.6283927,0.6926603,0.6867815,0.5803609,0.36186352,0.055356517,-0.25138426,-0.45998797,-0.5202226,-0.4300624,0.7789588,0.8143732,0.84879947,0.8790771,0.9232825,0.94829524,0.9015034,0.8576688,0.7657706,0.68357956,0.6189626,0.59170365,0.5875812
0.58180255,0.59420854,0.62267774,0.6438597,0.62735873,0.54500365,0.38273486,0.14976776,-0.11034648,-0.3366458,-0.5114097,-0.6502906,-0.7367254,0.8125663,0.8450276,0.86834455,0.882484,0.9093537,0.9189095,0.8633374,0.8178009,0.7355556,0.6676663,0.6089427,0.5649216,0.52087545
